,datetime,average_temperature_C,total_net_AC_voltage_V,total_time_run_total_h,total_todays_energy_kWh,total_Export Energy,total_last_active_fault,total_yesterdays_energy_kWh,average_average_cosphii_percent,total_Accumulated Export Energy,total_output_current_A,total_output_power_kW,total_time_run_today_h,total_time_run_yesterday_h,total_energy_counter_MWh,total_DC_voltage_DCV,total_net_frequency_Hz,total_grid_connections,WMS 01 ambient_temperature,WMS 01 irradiance,WMS 01 wind_speed,hour
0,2024-08-01 00:00:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,19.0,0.0
1,2024-08-01 00:10:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,20.0,0.0
2,2024-08-01 00:20:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,21.0,0.0
3,2024-08-01 00:30:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,27.0,0.0
4,2024-08-01 00:40:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,22.0,0.0
5,2024-08-01 00:50:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,17.0,0.0
6,2024-08-01 01:00:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,24.0,1.0
7,2024-08-01 01:10:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,28.0,0.0,28.0,1.0
8,2024-08-01 01:20:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,27.0,0.0,19.0,1.0
9,2024-08-01 01:30:00,0.0,0.0,84561.0,32470.0,0.0,219.0,27040.0,0.0,0.0,0.0,0.0,25.0,22.0,59194.0,0.0,0.0,27256.0,27.0,0.0,16.0,1.0
