total_Accumulated Export Energy,total_grid_connections,total_net_frequency_Hz,average_average_cosphii_percent,total_time_run_today_h,total_last_active_fault,total_output_power_kW,average_temperature_C,total_todays_energy_kWh,total_DC_voltage_DCV,total_yesterdays_energy_kWh,total_net_AC_voltage_V,total_time_run_yesterday_h,total_Export Energy,total_time_run_total_h,total_output_current_A,total_energy_counter_MWh,WMS 01 ambient_temperature,WMS 01 irradiance,WMS 01 wind_speed,hour
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,19.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,22.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,21.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,27.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,21.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,17.0,0.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,24.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,28.0,0.0,28.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,19.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,16.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,15.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,16.0,1.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,27.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,22.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,20.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,23.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,12.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,15.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,17.0,2.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,12.0,3.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,28.0,3.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,20.0,3.0
0.0,27256.0,0.0,0.0,25.0,219.0,0.0,0.0,32470.0,0.0,27040.0,0.0,22.0,0.0,84561.0,0.0,59194.0,27.0,0.0,13.0,3.0
